Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN RAMON
Departamento :,LORETO,Provincia :,ALTO AMAZONAS,Distrito :,YURIMAGUAS
Latitud :,5°56'8.13'',Longitud :,76°7'5.27'',Altitud :,142 msnm.
Tipo :,CP - Meteorológica,Código :,100128
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-10-01,S/D,S/D,S/D,S/D
2020-10-02,S/D,S/D,S/D,S/D
2020-10-03,S/D,S/D,S/D,S/D
2020-10-04,S/D,S/D,S/D,S/D
2020-10-05,S/D,S/D,S/D,S/D
2020-10-06,S/D,S/D,S/D,S/D
2020-10-07,S/D,S/D,S/D,S/D
2020-10-08,S/D,S/D,S/D,S/D
2020-10-09,S/D,S/D,S/D,S/D
2020-10-10,S/D,S/D,S/D,S/D
2020-10-11,S/D,S/D,S/D,S/D
2020-10-12,S/D,S/D,S/D,S/D
2020-10-13,S/D,S/D,S/D,S/D
2020-10-14,S/D,S/D,S/D,S/D
