Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : ARAMANGO
Departamento :,AMAZONAS,Provincia :,BAGUA,Distrito :,ARAMANGO
Latitud :,5°25'11.77'',Longitud :,78°26'7.9'',Altitud :,508 msnm.
Tipo :,CO - Meteorológica,Código :,105075
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2022-11-01,41.8,15.8,71.5,9.0
2022-11-02,28.2,15.5,85.4,0.0
2022-11-03,31.2,12.5,81.4,0.0
2022-11-04,33.5,12.5,75.8,-999.0
2022-11-05,37.2,S/D,S/D,2.2
2022-11-06,33.4,15,S/D,2.0
2022-11-07,35,15,74.5,0.0
2022-11-08,41.5,15.5,69.6,0.0
2022-11-09,40.5,15.5,76.0,18.0
2022-11-10,34.6,16.5,81.8,2.5
2022-11-11,38,17.5,80.0,0.0
2022-11-12,40,16.2,72.5,0.0
2022-11-13,40,16.5,71.5,0.0
2022-11-14,32.5,16.8,92.0,7.5
2022-11-15,34.8,15.2,89.4,48.6
2022-11-16,24.8,15.4,92.5,23.5
2022-11-17,S/D,14.8,S/D,S/D
2022-11-18,31.5,14.5,80.1,0.0
2022-11-19,33.5,14,81.7,0.0
2022-11-20,39.2,14.2,84.2,3.5
2022-11-21,33.2,14.2,77.9,0.0
2022-11-22,34.8,14.6,73.9,0.0
2022-11-23,34.5,14.2,80.5,6.5
2022-11-24,34.8,14.2,94.4,6.5
2022-11-25,33.8,14.4,84.3,0.0
2022-11-26,33.5,14.5,S/D,0.0
2022-11-27,31.5,14.4,87.1,1.2
2022-11-28,35.2,14,81.3,0.0
2022-11-29,35.8,14,73.7,7.5
2022-11-30,36,14.2,77.0,0.0
2022-12-01,36,14.6,72.6,0.0
